,accuracy,accuracy,brier_score,brier_score,ece,ece,f1_analysis,f1_analysis,f1_backdoor,f1_backdoor,f1_dos,f1_dos,f1_exploits,f1_exploits,f1_fuzzers,f1_fuzzers,f1_generic,f1_generic,f1_normal,f1_normal,f1_reconnaissance,f1_reconnaissance,f1_shellcode,f1_shellcode,f1_worms,f1_worms,log_loss,log_loss,macro_f1,macro_f1,precision_analysis,precision_analysis,precision_backdoor,precision_backdoor,precision_dos,precision_dos,precision_exploits,precision_exploits,precision_fuzzers,precision_fuzzers,precision_generic,precision_generic,precision_normal,precision_normal,precision_reconnaissance,precision_reconnaissance,precision_shellcode,precision_shellcode,precision_worms,precision_worms,recall_analysis,recall_analysis,recall_backdoor,recall_backdoor,recall_dos,recall_dos,recall_exploits,recall_exploits,recall_fuzzers,recall_fuzzers,recall_generic,recall_generic,recall_normal,recall_normal,recall_reconnaissance,recall_reconnaissance,recall_shellcode,recall_shellcode,recall_worms,recall_worms,roc_auc_macro_ovr,roc_auc_macro_ovr,weighted_f1,weighted_f1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_extra_trees,0.865714,0.001043,0.017417,0.000222,0.033547,0.000847,0.051699,0.012623,0.098386,0.007993,0.444204,0.020262,0.723033,0.004947,0.763955,0.008124,0.985236,0.001584,0.97698,0.001026,0.85052,0.008741,0.553962,0.047474,0.479091,0.134518,0.801196,0.018604,0.592707,0.013278,0.034647,0.00812,0.058711,0.004733,0.428904,0.008641,0.827615,0.01412,0.879528,0.031994,0.994498,0.001611,0.969554,0.007171,0.902631,0.02511,0.588576,0.084079,0.594805,0.256539,0.101917,0.027781,0.303699,0.027516,0.461476,0.037037,0.642201,0.012941,0.67618,0.020614,0.976154,0.003608,0.984595,0.00633,0.804916,0.022419,0.558772,0.165636,0.430555,0.160175,0.935584,0.006484,0.880982,0.000717
base_knn,0.850009,0.004697,0.020368,0.000669,0.039798,0.002891,0.116997,0.022129,0.037983,0.021723,0.450286,0.02266,0.670323,0.008746,0.612513,0.018268,0.981372,0.001433,0.952504,0.004273,0.783015,0.021586,0.37357,0.075184,0.120466,0.117555,2.168294,0.107377,0.509903,0.01931,0.106837,0.017406,0.092431,0.048274,0.437537,0.013592,0.652339,0.011925,0.688854,0.019259,0.992844,0.001523,0.937378,0.006341,0.792811,0.032596,0.444542,0.088645,0.216667,0.217307,0.134314,0.041096,0.02399,0.014009,0.46417,0.033431,0.689455,0.010531,0.551472,0.018495,0.970166,0.002707,0.968135,0.002211,0.774021,0.020983,0.325333,0.073341,0.088889,0.092962,0.849689,0.011657,0.847349,0.005902
base_random_forest,0.867439,0.006561,0.018354,0.000969,0.03523,0.007007,0.093159,0.019719,0.10371,0.010739,0.514113,0.012275,0.714138,0.00888,0.745797,0.022961,0.982859,0.002038,0.972936,0.004498,0.854163,0.009518,0.550996,0.0608,0.488758,0.128253,0.512984,0.14035,0.602063,0.020242,0.073327,0.016484,0.063868,0.006749,0.445041,0.01026,0.817269,0.008193,0.812265,0.060444,0.998096,0.001535,0.974581,0.002571,0.869415,0.021179,0.462196,0.094576,0.513131,0.125432,0.128508,0.026855,0.276245,0.029697,0.6087,0.01812,0.63421,0.012243,0.691189,0.01192,0.968099,0.00528,0.971351,0.01002,0.839814,0.012838,0.700912,0.037114,0.480556,0.158236,0.959998,0.017568,0.880077,0.005962
base_xgboost,0.882257,0.002235,0.015035,0.000299,0.013266,0.001828,0.141257,0.039652,0.058635,0.023744,0.502049,0.014683,0.71355,0.003906,0.708716,0.011104,0.985498,0.001468,0.973303,0.001768,0.863976,0.007795,0.600715,0.039309,0.535896,0.135344,0.301079,0.004781,0.608359,0.01352,0.954248,0.062691,0.707857,0.221088,0.45645,0.007604,0.710194,0.011185,0.718602,0.023494,0.993383,0.002174,0.959327,0.003799,0.929813,0.005827,0.612793,0.03861,0.718333,0.190431,0.076797,0.023583,0.030828,0.012885,0.558083,0.02651,0.717122,0.0082,0.699935,0.021647,0.977744,0.002779,0.987703,0.001909,0.806918,0.012215,0.58993,0.046839,0.452778,0.16999,0.981294,0.000732,0.878187,0.002389
cal_extra_trees,0.885002,0.000917,0.01513,9.6e-05,0.028688,0.003184,0.11627,0.024677,0.007362,0.016462,0.523339,0.005914,0.700078,0.002118,0.76471,0.010429,0.985449,0.00128,0.978286,0.001388,0.855302,0.008088,0.56812,0.042728,0.47671,0.140446,0.342433,0.002918,0.597563,0.014883,0.933333,0.149071,0.013043,0.029166,0.451543,0.001837,0.664105,0.006366,0.885987,0.010687,0.993007,0.000975,0.971039,0.002824,0.917055,0.027051,0.599266,0.033686,0.635758,0.263483,0.062059,0.013525,0.005128,0.011467,0.622397,0.014074,0.740298,0.008469,0.672713,0.012699,0.978009,0.002728,0.985649,0.001718,0.802058,0.018306,0.550526,0.101158,0.408333,0.165389,0.968511,0.007764,0.882654,0.00129
cal_knn,0.855329,0.005256,0.019779,0.000613,0.048388,0.002758,0.101594,0.023844,0.020253,0.007468,0.443754,0.018346,0.678643,0.006664,0.618631,0.021168,0.982083,0.001171,0.952315,0.004561,0.785964,0.023929,0.348785,0.062316,0.067133,0.092456,0.486806,0.014722,0.499915,0.017834,0.774596,0.215153,0.8,0.298142,0.432726,0.013775,0.620702,0.004618,0.762598,0.023628,0.995806,0.000593,0.931979,0.006306,0.827983,0.034444,0.476333,0.106238,0.15,0.223607,0.05463,0.013284,0.010301,0.00388,0.455611,0.025404,0.748565,0.011292,0.52046,0.019986,0.968735,0.002319,0.973568,0.003229,0.74856,0.024605,0.277719,0.049013,0.044444,0.060858,0.941895,0.00351,0.848408,0.005808
cal_random_forest,0.882123,0.003995,0.015698,0.000419,0.029383,0.00276,0.118239,0.037728,0.02131,0.014974,0.525774,0.01465,0.696741,0.005415,0.751693,0.012393,0.985382,0.001671,0.974814,0.00346,0.859795,0.010663,0.589465,0.03323,0.518629,0.100506,0.338001,0.006316,0.604184,0.014662,0.909091,0.203279,0.047979,0.0324,0.454208,0.007803,0.663267,0.008893,0.887051,0.017555,0.993857,0.00133,0.967606,0.004756,0.905781,0.013712,0.554643,0.025135,0.543254,0.122859,0.063497,0.021145,0.013749,0.009826,0.624354,0.027378,0.733831,0.004034,0.65259,0.020648,0.977055,0.003156,0.982135,0.002483,0.818359,0.012789,0.629684,0.047985,0.5,0.096225,0.97319,0.006599,0.880216,0.004145
cal_xgboost,0.884164,0.003017,0.014875,0.000334,0.005608,0.001172,0.141121,0.039839,0.061485,0.033371,0.508585,0.017665,0.70996,0.00499,0.737518,0.016662,0.985535,0.001069,0.97437,0.001791,0.863322,0.007099,0.603821,0.032815,0.643361,0.139352,0.29529,0.006417,0.622908,0.011974,0.929248,0.064774,0.712857,0.213236,0.457377,0.011341,0.670431,0.007642,0.857926,0.026076,0.992696,0.00224,0.962225,0.003719,0.9283,0.006598,0.592485,0.023154,0.666559,0.194045,0.076797,0.023583,0.032537,0.018469,0.572998,0.028901,0.754492,0.004863,0.646981,0.016249,0.978486,0.002881,0.986838,0.00218,0.806919,0.011286,0.616421,0.048377,0.638889,0.138889,0.982352,0.000908,0.880695,0.003181
