fold,method,macro_f1,weighted_f1,accuracy,log_loss,brier_score,ece,roc_auc_macro_ovr,recall_normal,precision_normal,f1_normal,recall_analysis,precision_analysis,f1_analysis,recall_backdoor,precision_backdoor,f1_backdoor,recall_dos,precision_dos,f1_dos,recall_exploits,precision_exploits,f1_exploits,recall_fuzzers,precision_fuzzers,f1_fuzzers,recall_generic,precision_generic,f1_generic,recall_reconnaissance,precision_reconnaissance,f1_reconnaissance,recall_shellcode,precision_shellcode,f1_shellcode,recall_worms,precision_worms,f1_worms
3,cal_knn,0.491481,0.843879,0.85133,0.499004,0.020443,0.047642,0.932216,0.975811,0.924229,0.94932,0.059259,0.571429,0.107383,0.017094,1.0,0.033613,0.465116,0.426487,0.444965,0.723395,0.62057,0.668049,0.493817,0.734969,0.59073,0.966614,0.994547,0.980382,0.756795,0.845048,0.798491,0.263158,0.487805,0.34188,0.0,0.0,0.0
4,p_weighted,0.609052,0.880723,0.884003,0.313089,0.01503,0.035627,0.97977,0.987027,0.964479,0.975623,0.074074,1.0,0.137931,0.017241,0.666667,0.033613,0.56846,0.455882,0.505985,0.760665,0.661977,0.707898,0.648515,0.86755,0.74221,0.976418,0.995408,0.985821,0.796853,0.923715,0.855607,0.644737,0.583333,0.6125,0.444444,0.666667,0.533333
4,p_stack,0.606086,0.880798,0.866634,0.411636,0.018389,0.016603,0.968028,0.957703,0.984306,0.970822,0.562963,0.211111,0.307071,0.663793,0.185096,0.289474,0.645477,0.442211,0.524851,0.586888,0.870173,0.700992,0.69802,0.804183,0.74735,0.978007,0.995415,0.986635,0.831187,0.873684,0.851906,0.934211,0.206997,0.338902,0.666667,0.230769,0.342857
4,p_final,0.64367,0.890637,0.88206,0.314695,0.015254,0.024176,0.983102,0.978243,0.977319,0.977781,0.481481,0.247148,0.326633,0.603448,0.183246,0.281124,0.628362,0.458929,0.530444,0.656938,0.818233,0.728767,0.692244,0.85351,0.764465,0.977213,0.995949,0.986492,0.824034,0.901408,0.860987,0.842105,0.392638,0.535565,0.666667,0.333333,0.444444
4,base_random_forest,0.597328,0.881148,0.869306,0.431283,0.018471,0.031716,0.965637,0.974054,0.97156,0.972805,0.155556,0.078652,0.104478,0.258621,0.064795,0.103627,0.621027,0.45479,0.525065,0.645263,0.828242,0.725391,0.669967,0.802372,0.730216,0.971118,0.99755,0.984157,0.821173,0.875,0.847232,0.736842,0.478632,0.580311,0.333333,0.5,0.4
4,cal_random_forest,0.589041,0.878986,0.881149,0.332511,0.015874,0.02462,0.975287,0.980676,0.967342,0.973963,0.059259,1.0,0.111888,0.017241,0.083333,0.028571,0.623472,0.454951,0.526044,0.73956,0.666532,0.701149,0.641089,0.859513,0.734405,0.978007,0.99354,0.985712,0.805436,0.908065,0.853677,0.671053,0.542553,0.6,0.333333,0.428571,0.375
4,base_extra_trees,0.602676,0.879979,0.863598,0.742377,0.017763,0.030979,0.943499,0.977162,0.977426,0.977294,0.103704,0.034826,0.052142,0.336207,0.064784,0.108635,0.447433,0.414496,0.430335,0.633139,0.830389,0.718471,0.702145,0.841741,0.765632,0.973503,0.996744,0.984987,0.825465,0.8769,0.850405,0.684211,0.444444,0.53886,0.666667,0.545455,0.6
4,cal_extra_trees,0.610618,0.883097,0.884914,0.341046,0.015247,0.034354,0.965126,0.986622,0.970362,0.978424,0.074074,1.0,0.137931,0.025862,0.12,0.042553,0.607579,0.452229,0.518519,0.742254,0.664389,0.701166,0.663366,0.904387,0.76535,0.977742,0.992469,0.985051,0.805436,0.92144,0.859542,0.592105,0.478723,0.529412,0.555556,0.625,0.588235
4,base_xgboost,0.600153,0.872965,0.877627,0.31515,0.01571,0.014637,0.981012,0.986757,0.952766,0.969464,0.074074,1.0,0.137931,0.017241,0.5,0.033333,0.517115,0.443396,0.477427,0.713965,0.699824,0.706824,0.686469,0.703297,0.694781,0.976683,0.994067,0.985298,0.796853,0.928333,0.857583,0.605263,0.676471,0.638889,0.333333,1.0,0.5
4,cal_xgboost,0.612471,0.875621,0.87957,0.310194,0.015536,0.00502,0.97901,0.985135,0.956567,0.970641,0.074074,1.0,0.137931,0.017241,0.4,0.033058,0.52934,0.443193,0.482451,0.754378,0.662722,0.705586,0.636964,0.832794,0.721833,0.976948,0.993265,0.985039,0.792561,0.937394,0.858915,0.657895,0.625,0.641026,0.555556,0.625,0.588235
4,base_knn,0.513981,0.842256,0.845561,2.135834,0.020766,0.039192,0.843547,0.966892,0.928859,0.947494,0.118519,0.088889,0.101587,0.017241,0.076923,0.028169,0.464548,0.434286,0.448907,0.680287,0.66244,0.671245,0.50165,0.642706,0.563485,0.969793,0.993216,0.981365,0.792561,0.795977,0.794265,0.421053,0.507937,0.460432,0.111111,0.2,0.142857
4,cal_knn,0.499118,0.843138,0.850601,0.48964,0.020139,0.047494,0.935849,0.970676,0.924572,0.947063,0.059259,0.533333,0.106667,0.017241,0.5,0.033333,0.448655,0.425754,0.436905,0.736866,0.62562,0.676701,0.476073,0.717662,0.572421,0.968468,0.995913,0.981999,0.778255,0.822995,0.8,0.381579,0.508772,0.43609,0.0,0.0,0.0
