,accuracy,accuracy,brier_score,brier_score,ece,ece,f1_analysis,f1_analysis,f1_backdoor,f1_backdoor,f1_dos,f1_dos,f1_exploits,f1_exploits,f1_fuzzers,f1_fuzzers,f1_generic,f1_generic,f1_normal,f1_normal,f1_reconnaissance,f1_reconnaissance,f1_shellcode,f1_shellcode,f1_worms,f1_worms,log_loss,log_loss,macro_f1,macro_f1,precision_analysis,precision_analysis,precision_backdoor,precision_backdoor,precision_dos,precision_dos,precision_exploits,precision_exploits,precision_fuzzers,precision_fuzzers,precision_generic,precision_generic,precision_normal,precision_normal,precision_reconnaissance,precision_reconnaissance,precision_shellcode,precision_shellcode,precision_worms,precision_worms,recall_analysis,recall_analysis,recall_backdoor,recall_backdoor,recall_dos,recall_dos,recall_exploits,recall_exploits,recall_fuzzers,recall_fuzzers,recall_generic,recall_generic,recall_normal,recall_normal,recall_reconnaissance,recall_reconnaissance,recall_shellcode,recall_shellcode,recall_worms,recall_worms,roc_auc_macro_ovr,roc_auc_macro_ovr,weighted_f1,weighted_f1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_extra_trees,0.86535,0.002003,0.018268,0.00079,0.035911,0.005524,0.059447,0.016,0.10295,0.010774,0.472446,0.031446,0.721786,0.006817,0.75584,0.010915,0.985195,0.001732,0.974991,0.003689,0.857623,0.008793,0.538994,0.053585,0.609915,0.099178,0.611517,0.189883,0.607918,0.007822,0.042751,0.012944,0.061657,0.006484,0.435975,0.013719,0.83738,0.01415,0.81799,0.043346,0.997287,0.000832,0.978654,0.001313,0.874485,0.014753,0.435307,0.063453,0.573868,0.114469,0.101917,0.027781,0.312275,0.035645,0.51701,0.056395,0.634298,0.00515,0.704052,0.019091,0.973398,0.003703,0.971378,0.007354,0.841531,0.009497,0.714491,0.03849,0.686111,0.160656,0.952667,0.020866,0.881113,0.001783
base_knn,0.846196,0.001163,0.020884,0.000172,0.038913,0.002171,0.117459,0.017976,0.035134,0.015236,0.456905,0.01942,0.669856,0.007441,0.565101,0.017032,0.980993,0.001308,0.948372,0.002135,0.798977,0.009554,0.368129,0.063826,0.156483,0.104012,2.174701,0.042942,0.509741,0.013099,0.10768,0.01395,0.084499,0.037437,0.440813,0.013858,0.655484,0.008338,0.647202,0.013032,0.991238,0.001349,0.930801,0.002376,0.815371,0.012821,0.417807,0.080721,0.37,0.380132,0.134314,0.039042,0.022296,0.009746,0.474443,0.027139,0.685054,0.014096,0.501646,0.020717,0.970961,0.002285,0.966622,0.002544,0.783462,0.015733,0.333263,0.06521,0.111111,0.078567,0.846828,0.002017,0.842836,0.001851
base_random_forest,0.868289,0.001532,0.018621,0.000269,0.037628,0.004882,0.095641,0.025386,0.100134,0.006021,0.523561,0.008901,0.721808,0.010762,0.735605,0.006855,0.983709,0.001729,0.972382,0.001554,0.856299,0.005802,0.542437,0.030308,0.55235,0.168603,0.418979,0.006939,0.608393,0.01527,0.074618,0.019587,0.061816,0.003838,0.452469,0.005675,0.82565,0.008522,0.794661,0.015925,0.998147,0.000674,0.974658,0.003721,0.87372,0.008411,0.453103,0.021632,0.568889,0.127027,0.134456,0.038916,0.264206,0.021374,0.621416,0.019517,0.641214,0.012813,0.684921,0.009222,0.969689,0.003607,0.970135,0.003651,0.839812,0.016271,0.679895,0.072525,0.575,0.24915,0.967264,0.005058,0.880858,0.000903
base_xgboost,0.883059,0.004071,0.015057,0.000451,0.011983,0.003471,0.136517,0.035331,0.046124,0.017514,0.506806,0.019335,0.716744,0.0085,0.706834,0.0118,0.985813,0.002001,0.97409,0.003158,0.864425,0.007613,0.603729,0.040899,0.451282,0.128653,0.301336,0.008553,0.599236,0.008198,0.937143,0.06276,0.673333,0.238514,0.457331,0.011046,0.717642,0.017879,0.711821,0.021172,0.994075,0.001867,0.960194,0.005482,0.930455,0.007163,0.614072,0.044405,0.707619,0.198338,0.073867,0.020214,0.02399,0.009309,0.568597,0.031899,0.716135,0.009399,0.702739,0.024328,0.977691,0.003177,0.988405,0.001136,0.807204,0.01091,0.595368,0.052018,0.344444,0.126686,0.981058,0.00076,0.878999,0.004367
cal_extra_trees,0.884152,0.002974,0.015287,0.000279,0.030432,0.003947,0.119777,0.039711,0.031728,0.01144,0.526334,0.012946,0.703849,0.001714,0.757048,0.014103,0.985525,0.00128,0.976565,0.00371,0.861246,0.010775,0.57305,0.048302,0.562567,0.078736,0.332045,0.010311,0.609769,0.012215,0.830882,0.234027,0.072443,0.0292,0.457278,0.007747,0.666377,0.004765,0.887201,0.024441,0.993327,0.000779,0.971036,0.003537,0.913992,0.009627,0.540063,0.063387,0.611026,0.0471,0.064989,0.022309,0.020586,0.007666,0.620195,0.024159,0.745867,0.007078,0.660345,0.011771,0.97785,0.002882,0.982162,0.00443,0.814353,0.015135,0.61393,0.052723,0.544445,0.159087,0.975107,0.006929,0.882515,0.003211
cal_knn,0.851831,0.00151,0.020285,0.000153,0.046266,0.001841,0.106074,0.014484,0.030001,0.018259,0.450445,0.016192,0.678582,0.006648,0.570645,0.018145,0.981734,0.001224,0.948027,0.002234,0.801666,0.008822,0.342874,0.076305,0.070769,0.098269,0.493376,0.003977,0.498082,0.013152,0.6957,0.154089,0.58,0.426615,0.437674,0.013082,0.623688,0.00218,0.723934,0.015515,0.993974,0.001466,0.925238,0.001863,0.842133,0.019645,0.456236,0.055048,0.25,0.433013,0.057614,0.008117,0.015443,0.009377,0.464172,0.021781,0.744164,0.013877,0.471129,0.020363,0.969795,0.002472,0.971973,0.003861,0.76516,0.009461,0.280421,0.086933,0.044444,0.060858,0.937857,0.003892,0.843938,0.001182
cal_random_forest,0.880836,0.000494,0.015836,9.5e-05,0.027065,0.002095,0.116646,0.054216,0.027309,0.01695,0.52948,0.006657,0.699967,0.004023,0.73819,0.006625,0.98544,0.00107,0.973925,0.001926,0.85847,0.007837,0.574329,0.033733,0.508264,0.184838,0.330997,0.001461,0.601202,0.021303,0.842424,0.219984,0.051418,0.032332,0.458608,0.00395,0.665349,0.007565,0.869716,0.016793,0.993597,0.001821,0.968722,0.002727,0.903954,0.008338,0.531024,0.033544,0.506984,0.155821,0.063497,0.031002,0.020572,0.01551,0.626552,0.018148,0.73859,0.012172,0.641535,0.013917,0.977426,0.003502,0.979189,0.002221,0.817501,0.014673,0.626983,0.047964,0.530555,0.235784,0.976192,0.003898,0.879351,0.001025
cal_xgboost,0.88397,0.003565,0.014897,0.000443,0.005613,0.001176,0.133911,0.036916,0.045857,0.026279,0.508137,0.017573,0.7115,0.006171,0.731649,0.019099,0.985693,0.001967,0.974682,0.00265,0.862952,0.004895,0.61008,0.037819,0.548599,0.151126,0.295868,0.00888,0.611306,0.011294,0.934921,0.064574,0.662857,0.261393,0.45603,0.009364,0.672588,0.009261,0.844399,0.032551,0.992957,0.001676,0.962988,0.005112,0.9309,0.007126,0.592336,0.038037,0.622619,0.094641,0.072386,0.021124,0.02399,0.014009,0.573976,0.030178,0.755301,0.008559,0.645824,0.017394,0.978539,0.003163,0.986676,0.00147,0.804344,0.010066,0.629649,0.044506,0.527778,0.206006,0.981469,0.001607,0.880418,0.003873
