feature,consensus_score,rank,selected
state,1.940467156171858,1,True
service,1.940467156171858,2,True
proto,1.940467156171858,3,True
load_per_pkt,1.940467156171858,4,True
rate_per_pkt,1.940467156171858,5,True
win_ratio,1.940467156171858,6,True
tcp_setup_ratio,1.940467156171858,7,True
bytes_per_pkt_total,1.940467156171858,8,True
mean_pkt_src,1.940467156171858,9,True
mean_pkt_dst,1.940467156171858,10,True
pkt_size_asym,1.940467156171858,11,True
byte_ratio,1.940467156171858,12,True
ct_srv_dst,1.940467156171858,13,True
ct_src_ltm,1.940467156171858,14,True
jit_ratio,1.940467156171858,15,True
inter_pkt_ratio,1.940467156171858,16,True
ttl_diff,1.940467156171858,17,True
load_ratio,1.940467156171858,18,True
pkt_ratio,1.940467156171858,19,True
ct_dst_src_ltm,1.940467156171858,20,True
swin,1.940467156171858,21,True
dmean,1.940467156171858,22,True
ct_srv_src,1.940467156171858,23,True
ct_state_ttl,1.940467156171858,24,True
ct_dst_ltm,1.940467156171858,25,True
ct_src_dport_ltm,1.940467156171858,26,True
ct_dst_sport_ltm,1.940467156171858,27,True
dttl,1.940467156171858,28,True
sttl,1.940467156171858,29,True
rate,1.940467156171858,30,True
sbytes,1.940467156171858,31,True
spkts,1.940467156171858,32,True
dpkts,1.940467156171858,33,True
dur,1.940467156171858,34,True
smean,1.940467156171858,35,True
sload,1.940467156171858,36,True
dload,1.940467156171858,37,True
sloss,1.940467156171858,38,True
dloss,1.940467156171858,39,True
sinpkt,1.940467156171858,40,True
dinpkt,1.940467156171858,41,True
sjit,1.940467156171858,42,True
djit,1.940467156171858,43,True
dbytes,1.461168221700539,44,True
dtcpb,1.4565756887413477,45,True
trans_depth,1.4565756887413477,46,True
dwin,1.4565756887413477,47,True
ct_flw_http_mthd,1.4565756887413477,48,True
stcpb,1.4565756887413477,49,True
src_loss_rate,1.449614088925339,50,True
dst_loss_rate,1.449614088925339,51,False
tcprtt,1.449614088925339,52,False
synack,1.449614088925339,53,False
ackdat,1.449614088925339,54,False
loss_rate,1.449614088925339,55,False
response_body_len,0.9772767542700287,56,False
is_sm_ips_ports,0.9657226214948288,57,False
is_ftp_login,0.4792989344713191,58,False
ct_ftp_cmd,0.4792989344713191,59,False
